Size;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;
6844;95;104;97;101;97;102;97;101;99;100;
6844;2,6;2,3;2,75;2,3;2,633;2,433;2,533;2,467;2,467;2,4;
6844;0,475;0,52;0,485;0,505;0,485;0,51;0,485;0,505;0,495;0,5;
6844;1,235;1,196;1,33375;1,1615;1,277005;1,24083;1,228595;1,245835;1,221165;1,2;
15848;111;107;109;109;109;112;108;112;108;108;
15848;2;2;2,067;1,8;1,933;1,967;2,067;2,067;2,1;2,1;
15848;0,555;0,535;0,545;0,545;0,545;0,56;0,54;0,56;0,54;0,54;
15848;1,11;1,07;1,126515;0,981;1,053485;1,10152;1,11618;1,15752;1,134;1,134;
33074;98;99;103;102;100;101;105;102;103;104;
33074;5,667;5,233;4,3;4,567;4,8;4,4;4,2;4,567;4,5;4,5;
33074;0,49;0,495;0,515;0,51;0,5;0,505;0,525;0,51;0,515;0,52;
33074;2,77683;2,590335;2,2145;2,32917;2,4;2,222;2,205;2,32917;2,3175;2,34;
41670;96;97;96;97;98;97;97;96;96;97;
41670;7,033;6,8;7,033;6,8;7,1;7,133;7,167;7,6;6,933;6,533;
41670;0,48;0,485;0,48;0,485;0,49;0,485;0,485;0,48;0,48;0,485;
41670;3,37584;3,298;3,37584;3,298;3,479;3,459505;3,475995;3,648;3,32784;3,168505;
71662;94;93;93;94;93;92;93;93;93;93;
71662;14,1;14,767;14,467;14,033;14,633;14,933;14,2;14,3;14,367;14,833;
71662;0,47;0,465;0,465;0,47;0,465;0,46;0,465;0,465;0,465;0,465;
71662;6,627;6,866655;6,727155;6,59551;6,804345;6,86918;6,603;6,6495;6,680655;6,897345;
;;;;;;;;;;;
